title,country,description,source,date,salary_monthly_usd,seniority
Data Analyst,us,"Job Description: Support the development and testing of Client systems and services Deliver advanced analytics and business intelligence for Payment Services operations. Design, implement, and maintain dashboards and data pipelines. Provide actionable insights through data mining and statistical analysis. Description: Build and maintain marketing performance dashboards (Power BI) that track campaign and channel KPIs, trends, and outcomes on a daily/weekly/monthly cadence. • Define KPI methodolo…",adzuna,2026-05-15,7180.75,Not Specified
Data Analyst,us,"Key Responsibilities: Data Analysis & SQL Development Write, optimize, and maintain SQL queries for reporting and analysis Collect, clean, and analyze structured and unstructured data Perform data validation, reconciliation, and quality assurance Develop reports, dashboards, and visualizations using tools such as Excel or Tableau Translate analytical findings into business insights and requirements Document analytical approaches, assumptions, data sources, logic, and analytical methodologies Su…",adzuna,2026-05-06,6502.05,Not Specified
Data Analyst,us,Supports Data Loss Prevention and Data Security initiatives in mission to protect Client sensitive data. Responsibilities: Monitor alerts coming from data loss prevention technologies. Perform initial triage and escalation in accordance with internal processes. Draft playbooks/job aids for responsibilities. Partner with senior data loss prevention leaders to support incident validations. Provide feedback to technologists responsible for DLP policy tuning on efficacy of rules. Prepare DLP progra…,adzuna,2026-05-20,10222.37,Junior
Data Analyst,us,"Payrate: $42.00 - $44.00/hr. Summary: We are looking for a hands-on professional with strong operational analytics experience to support HR, workforce planning, or resource management functions. This role is remote and focuses on maintaining data integrity across multiple hiring and onboarding data sources. The ideal candidate will have advanced Excel skills, experience with large datasets, and practical Power BI experience. This position is best suited for someone who enjoys day-to-day analyti…",adzuna,2026-05-20,8318.9,Not Specified
Data Analyst,us,"Bachelor’s degree in Computer Science, Statistics, Mathematics, or related field 2–5 years of experience in data analysis or similar role Strong knowledge of SQL Experience with Excel (Pivot Tables, VLOOKUP, etc.) Familiarity with data visualization tools like Power BI or Tableau Basic understanding of Python or R for data analysis Strong analytical and problem-solving skills Good communication and presentation skills",adzuna,2026-04-28,5966.07,Not Specified
Data Analyst,us,"JOB SUMMARY Under broad supervision, performs complex administrative duties and statistical, financial, or operational data analysis and reporting in support of management decision making in the functional area. Identifies trends, discrepancies, and variances to improve the efficiency and effectiveness of operations. May partner with other departments, divisions, outside agencies, and vendors to address business issues. Exercises various latitudes of independent judgment. May administer or prov…",adzuna,2026-05-27,6181.47,Not Specified
Data Analyst,us,"Key responsibilities of consultant: • Supports the HRIC dept. by entering data and processing employee actions, including new hires, rehires, transfers, salary changes, etc. into the HR information system (SAP/HCM) • Responsible for processing terminations for MHS, MMC, MIT & MEAC. • Responsible for processing historical edits, using UKG formally known as kronos, our timekeeping system. • Generate a bi-weekly report with associates that have been placed out due to a Covid-19 related absence,",adzuna,2026-05-13,6090.09,Not Specified
Data Analyst,us,"Reporting tools experience is Must SQL, Tableau, Snowflake, ETL, DBT- Must Experience 10 to 15 Years Mandatory Skills- SQL, Tableau, Snowflake, ETL, DBT, Reporting tools Ex-Apple must Job Summary: Collect, clean, and analyze large datasets from multiple sources. Develop reports, dashboards, and visualizations to present insights. Use SQL queries to extract and manipulate data from databases. Identify trends, patterns, and insights that support business strategies. Work closely with business sta…",adzuna,2026-05-28,8504.92,Not Specified
Data Analyst,us,"JOB SUMMARY Under broad supervision, performs complex administrative duties and statistical, financial, or operational data analysis and reporting in support of management decision making in the functional area. Identifies trends, discrepancies, and variances to improve the efficiency and effectiveness of operations. May partner with other departments, divisions, outside agencies, and vendors to address business issues. Exercises various latitudes of independent judgment. May administer or prov…",adzuna,2026-05-28,5164.27,Not Specified
Data Analyst Trainee,gb,"Are you looking to benefit from a new career in Data Analysis? If you are detail orientated, perceptive, organised, competent, analytical and can communicate well with those around you; you could have a truly rewarding future as a Data Analyst We do this using our specialised Data Analyst career programme which looks to assist and place qualified candidates into a career pathway in Data Analysis. Please note this career program is designed for entry level individuals with limited or no experien…",adzuna,2026-05-25,3357.51,Junior
